stage1 岩の手前まで230進んで90ジャンプして406歩ゴールまで	REASON stone ACTION move VALUE 230 ACTION jump VALUE 90 ACTION move VALUE 406
stage2 1つ目の岩まで101進んで133でジャンプ、2つ目まで59進んで167でジャンプして316進んで	REASON stone ACTION move VALUE 101 ACTION jump VALUE 133 ACTION move VALUE 59 ACTION jump VALUE 167 ACTION move VALUE 316
stage1 スタートから246進んで高さ113でジャンプして368進んでゴール	REASON stone ACTION move VALUE 246 ACTION jump VALUE 113 ACTION move VALUE 368
stage2 1つ目の岩まで124進んで37でジャンプ、2つ目まで83進んで143でジャンプして379進んで	REASON stone ACTION move VALUE 124 ACTION jump VALUE 37 ACTION move VALUE 83 ACTION jump VALUE 143 ACTION move VALUE 379
stage2 岩を2回ジャンプして越えて	REASON stone ACTION move VALUE 244 ACTION jump VALUE 32 ACTION move VALUE 141 ACTION jump VALUE 42 ACTION move VALUE 250
stage3 スタートから206進んで高さ53でジャンプして398進んでゴール	REASON hole ACTION move VALUE 206 ACTION jump VALUE 53 ACTION move VALUE 398
stage3 280進んで高さ143でジャンプして122進む	REASON hole ACTION move VALUE 280 ACTION jump VALUE 143 ACTION move VALUE 122
stage2 1つ目の岩まで137進んで176でジャンプ、2つ目まで261進んで100でジャンプして379進んで	REASON stone ACTION move VALUE 137 ACTION jump VALUE 176 ACTION move VALUE 261 ACTION jump VALUE 100 ACTION move VALUE 379
stage1 233移動してから高さ167でジャンプし、365移動して	REASON stone ACTION move VALUE 233 ACTION jump VALUE 167 ACTION move VALUE 365
stage2 143歩進んで高さ62でジャンプ、69進んで75でジャンプして335進む	REASON stone ACTION move VALUE 143 ACTION jump VALUE 62 ACTION move VALUE 69 ACTION jump VALUE 75 ACTION move VALUE 335
stage1 うまいことジャンプして岩を越えて	REASON stone ACTION move VALUE 291 ACTION jump VALUE 26 ACTION move VALUE 227
stage2 2個の岩を飛び越えてゴールへ	REASON stone ACTION move VALUE 63 ACTION jump VALUE 24 ACTION move VALUE 45 ACTION jump VALUE 40 ACTION move VALUE 213
stage2 142歩進んで138で飛んで、53歩進んで66で飛んで305歩すすむ	REASON stone ACTION move VALUE 142 ACTION jump VALUE 138 ACTION move VALUE 53 ACTION jump VALUE 66 ACTION move VALUE 305
stage2 最初に109進んで85ジャンプ、次61進んで131ジャンプ、最後280進む	REASON stone ACTION move VALUE 109 ACTION jump VALUE 85 ACTION move VALUE 61 ACTION jump VALUE 131 ACTION move VALUE 280
stage2 119移動して8ジャンプ、53移動して145ジャンプ、172移動	REASON stone ACTION move VALUE 119 ACTION jump VALUE 8 ACTION move VALUE 53 ACTION jump VALUE 145 ACTION move VALUE 172
stage1 352進んで79の高さでジャンプして435歩	REASON stone ACTION move VALUE 352 ACTION jump VALUE 79 ACTION move VALUE 435
stage3 206歩走って89でとんで394歩すすむ	REASON hole ACTION move VALUE 206 ACTION jump VALUE 89 ACTION move VALUE 394
stage2 107歩走って102高さで跳んで88歩進んで175高さで跳んで246歩ゴール	REASON stone ACTION move VALUE 107 ACTION jump VALUE 102 ACTION move VALUE 88 ACTION jump VALUE 175 ACTION move VALUE 246
stage2 129移動して145ジャンプ、47移動して170ジャンプ、最後に322移動	REASON stone ACTION move VALUE 129 ACTION jump VALUE 145 ACTION move VALUE 47 ACTION jump VALUE 170 ACTION move VALUE 322
stage2 145歩進んで107で飛んで、27歩進んで122で飛んで268歩すすむ	REASON stone ACTION move VALUE 145 ACTION jump VALUE 107 ACTION move VALUE 27 ACTION jump VALUE 122 ACTION move VALUE 268
stage1 311進んで117ジャンプして273進む	REASON stone ACTION move VALUE 311 ACTION jump VALUE 117 ACTION move VALUE 273
stage1 233移動してから高さ83でジャンプし、432移動して	REASON stone ACTION move VALUE 233 ACTION jump VALUE 83 ACTION move VALUE 432
stage1 362進んで162ジャンプして151進む	REASON stone ACTION move VALUE 362 ACTION jump VALUE 162 ACTION move VALUE 151
stage2 最初に142進んで80ジャンプ、次37進んで128ジャンプ、最後271進む	REASON stone ACTION move VALUE 142 ACTION jump VALUE 80 ACTION move VALUE 37 ACTION jump VALUE 128 ACTION move VALUE 271
stage3 299進んで高さ133でジャンプして81進む	REASON hole ACTION move VALUE 299 ACTION jump VALUE 133 ACTION move VALUE 81
stage2 岩を2回越えて	REASON stone ACTION move VALUE 70 ACTION jump VALUE 25 ACTION move VALUE 149 ACTION jump VALUE 35 ACTION move VALUE 216
stage2 石を2個越えてゴールまで	REASON stone ACTION move VALUE 192 ACTION jump VALUE 22 ACTION move VALUE 88 ACTION jump VALUE 25 ACTION move VALUE 195
stage1 岩の手前まで242進んで76ジャンプして383歩ゴールまで	REASON stone ACTION move VALUE 242 ACTION jump VALUE 76 ACTION move VALUE 383
stage3 202進んで87でしっかりジャンプしてから413進んでゴール	REASON hole ACTION move VALUE 202 ACTION jump VALUE 87 ACTION move VALUE 413
stage1 走ってジャンプして	REASON stone ACTION move VALUE 31 ACTION jump VALUE 31 ACTION move VALUE 172
stage3 258進んで168ジャンプして155進む	REASON hole ACTION move VALUE 258 ACTION jump VALUE 168 ACTION move VALUE 155
stage1 249歩進んで高さ128でジャンプして361進む	REASON stone ACTION move VALUE 249 ACTION jump VALUE 128 ACTION move VALUE 361
stage2 143歩進んで高さ153でジャンプ、続けて26進んで166でジャンプして270進む	REASON stone ACTION move VALUE 143 ACTION jump VALUE 153 ACTION move VALUE 26 ACTION jump VALUE 166 ACTION move VALUE 270
stage1 223歩走って高さ134でとんで436歩進む	REASON stone ACTION move VALUE 223 ACTION jump VALUE 134 ACTION move VALUE 436
stage1 247移動してから高さ167でジャンプし、377移動して	REASON stone ACTION move VALUE 247 ACTION jump VALUE 167 ACTION move VALUE 377
stage2 115歩進んで高さ102でジャンプ、続けて39進んで75でジャンプして352進む	REASON stone ACTION move VALUE 115 ACTION jump VALUE 102 ACTION move VALUE 39 ACTION jump VALUE 75 ACTION move VALUE 352
stage3 穴を飛んで進んで	REASON hole ACTION move VALUE 55 ACTION jump VALUE 42 ACTION move VALUE 103
stage1 石を跳び越えて	REASON stone ACTION move VALUE 64 ACTION jump VALUE 30 ACTION move VALUE 161
stage1 ちょうど238進んでから82でジャンプして366進んでね	REASON stone ACTION move VALUE 238 ACTION jump VALUE 82 ACTION move VALUE 366
stage3 317歩進んで72の高さでジャンプして121歩	REASON hole ACTION move VALUE 317 ACTION jump VALUE 72 ACTION move VALUE 121
stage3 205歩進んで82の高さで穴を跳び越えて468歩進む	REASON hole ACTION move VALUE 205 ACTION jump VALUE 82 ACTION move VALUE 468
stage3 穴を飛んで進んで	REASON hole ACTION move VALUE 100 ACTION jump VALUE 150 ACTION move VALUE 153
stage1 279歩進んで高さ79でジャンプして336進む	REASON stone ACTION move VALUE 279 ACTION jump VALUE 79 ACTION move VALUE 336
stage2 111歩進んで高さ41でジャンプ、114進んで160でジャンプして302進む	REASON stone ACTION move VALUE 111 ACTION jump VALUE 41 ACTION move VALUE 114 ACTION jump VALUE 160 ACTION move VALUE 302
stage3 204歩進んで39の高さでジャンプして96歩	REASON hole ACTION move VALUE 204 ACTION jump VALUE 39 ACTION move VALUE 96
stage1 244歩走って高さ65でとんで431歩進む	REASON stone ACTION move VALUE 244 ACTION jump VALUE 65 ACTION move VALUE 431
stage3 106進んで高さ43でジャンプして167進む	REASON hole ACTION move VALUE 106 ACTION jump VALUE 43 ACTION move VALUE 167
stage1 286歩走って87高さで跳んで166歩進む	REASON stone ACTION move VALUE 286 ACTION jump VALUE 87 ACTION move VALUE 166
stage1 134歩走って121高さで跳んで116歩進む	REASON stone ACTION move VALUE 134 ACTION jump VALUE 121 ACTION move VALUE 116
stage1 239進んで126ジャンプして304進む	REASON stone ACTION move VALUE 239 ACTION jump VALUE 126 ACTION move VALUE 304
stage1 249歩進んで高さ27でジャンプして435進む	REASON stone ACTION move VALUE 249 ACTION jump VALUE 27 ACTION move VALUE 435
stage1 235進んで高さ104でジャンプしてから410進んで	REASON stone ACTION move VALUE 235 ACTION jump VALUE 104 ACTION move VALUE 410
stage2 最初に141進んで150ジャンプ、次17進んで71ジャンプ、最後311進む	REASON stone ACTION move VALUE 141 ACTION jump VALUE 150 ACTION move VALUE 17 ACTION jump VALUE 71 ACTION move VALUE 311
stage2 149歩進んで高さ143でジャンプ、続けて28進んで148でジャンプして325進む	REASON stone ACTION move VALUE 149 ACTION jump VALUE 143 ACTION move VALUE 28 ACTION jump VALUE 148 ACTION move VALUE 325
stage1 232移動してから高さ138でジャンプし、425移動して	REASON stone ACTION move VALUE 232 ACTION jump VALUE 138 ACTION move VALUE 425
stage2 139移動して111ジャンプ、26移動して62ジャンプ、最後に332移動	REASON stone ACTION move VALUE 139 ACTION jump VALUE 111 ACTION move VALUE 26 ACTION jump VALUE 62 ACTION move VALUE 332
stage2 145進んで126の力でジャンプ、35進んで54の力でジャンプして297進んで	REASON stone ACTION move VALUE 145 ACTION jump VALUE 126 ACTION move VALUE 35 ACTION jump VALUE 54 ACTION move VALUE 297
stage2 石を2個越えてゴールまで	REASON stone ACTION move VALUE 68 ACTION jump VALUE 37 ACTION move VALUE 92 ACTION jump VALUE 21 ACTION move VALUE 146
stage3 60歩走って73でとんで356歩すすむ	REASON hole ACTION move VALUE 60 ACTION jump VALUE 73 ACTION move VALUE 356
stage1 まず222進んで、57でジャンプして、その後369進んで	REASON stone ACTION move VALUE 222 ACTION jump VALUE 57 ACTION move VALUE 369
stage3 207移動して147ジャンプ、着地後443移動	REASON hole ACTION move VALUE 207 ACTION jump VALUE 147 ACTION move VALUE 443
stage1 225移動してから高さ158でジャンプし、378移動して	REASON stone ACTION move VALUE 225 ACTION jump VALUE 158 ACTION move VALUE 378
stage2 128歩進んで144で飛んで、27歩進んで98で飛んで281歩すすむ	REASON stone ACTION move VALUE 128 ACTION jump VALUE 144 ACTION move VALUE 27 ACTION jump VALUE 98 ACTION move VALUE 281
stage3 穴の手前まで204進んで25の高さでジャンプして向こうまで379進んで	REASON hole ACTION move VALUE 204 ACTION jump VALUE 25 ACTION move VALUE 379
stage2 まず219進んで141ジャンプ、次に128進んで103ジャンプ、331進んでゴール	REASON stone ACTION move VALUE 219 ACTION jump VALUE 141 ACTION move VALUE 128 ACTION jump VALUE 103 ACTION move VALUE 331
stage1 まず225進んで、56でジャンプして、その後360進んで	REASON stone ACTION move VALUE 225 ACTION jump VALUE 56 ACTION move VALUE 360
stage1 まず245進んで、124でジャンプして、その後345進んで	REASON stone ACTION move VALUE 245 ACTION jump VALUE 124 ACTION move VALUE 345
stage3 スタートから206進んで高さ69でジャンプして467進んでゴール	REASON hole ACTION move VALUE 206 ACTION jump VALUE 69 ACTION move VALUE 467
stage3 170進んで96進む	REASON hole ACTION move VALUE 170 ACTION move VALUE 96
stage2 106移動して11ジャンプ、87移動して169ジャンプ、260移動	REASON stone ACTION move VALUE 106 ACTION jump VALUE 11 ACTION move VALUE 87 ACTION jump VALUE 169 ACTION move VALUE 260
stage1 224歩進んで高さ153でジャンプして287進む	REASON stone ACTION move VALUE 224 ACTION jump VALUE 153 ACTION move VALUE 287
stage1 143歩走って63高さで跳んで204歩進む	REASON stone ACTION move VALUE 143 ACTION jump VALUE 63 ACTION move VALUE 204
stage3 230歩走って23でとんで191歩すすむ	REASON hole ACTION move VALUE 230 ACTION jump VALUE 23 ACTION move VALUE 191
stage1 ちょうど250進んでから100でジャンプして376進んでね	REASON stone ACTION move VALUE 250 ACTION jump VALUE 100 ACTION move VALUE 376
stage3 274進んで高さ76でジャンプして224進む	REASON hole ACTION move VALUE 274 ACTION jump VALUE 76 ACTION move VALUE 224
stage2 まず120進んで141ジャンプ、次に67進んで57ジャンプ、181進んでゴール	REASON stone ACTION move VALUE 120 ACTION jump VALUE 141 ACTION move VALUE 67 ACTION jump VALUE 57 ACTION move VALUE 181
stage3 202移動して141ジャンプ、着地後410移動	REASON hole ACTION move VALUE 202 ACTION jump VALUE 141 ACTION move VALUE 410
stage3 204歩進んで122の高さで穴を跳び越えて414歩進む	REASON hole ACTION move VALUE 204 ACTION jump VALUE 122 ACTION move VALUE 414
stage2 1つ目の岩まで135進んで113でジャンプ、2つ目まで21進んで30でジャンプして152進んで	REASON stone ACTION move VALUE 135 ACTION jump VALUE 113 ACTION move VALUE 21 ACTION jump VALUE 30 ACTION move VALUE 152
stage1 332歩走って168高さで跳んで458歩進む	REASON stone ACTION move VALUE 332 ACTION jump VALUE 168 ACTION move VALUE 458
stage3 スタートから202進んで高さ165でジャンプして447進んでゴール	REASON hole ACTION move VALUE 202 ACTION jump VALUE 165 ACTION move VALUE 447
stage1 岩の手前まで232進んで180ジャンプして399歩ゴールまで	REASON stone ACTION move VALUE 232 ACTION jump VALUE 180 ACTION move VALUE 399
stage1 303進んで140ジャンプして440進む	REASON stone ACTION move VALUE 303 ACTION jump VALUE 140 ACTION move VALUE 440
stage3 大きな穴を飛び越えて	REASON hole ACTION move VALUE 289 ACTION jump VALUE 95 ACTION move VALUE 180
stage2 走ってジャンプを2回して進んで	REASON stone ACTION move VALUE 77 ACTION jump VALUE 36 ACTION move VALUE 172 ACTION jump VALUE 33 ACTION move VALUE 154
stage3 205移動して99ジャンプ、着地後458移動	REASON hole ACTION move VALUE 205 ACTION jump VALUE 99 ACTION move VALUE 458
stage3 209歩走って146でとんで90歩すすむ	REASON hole ACTION move VALUE 209 ACTION jump VALUE 146 ACTION move VALUE 90
stage2 1つ目の岩まで141進んで92でジャンプ、2つ目まで37進んで139でジャンプして185進んで	REASON stone ACTION move VALUE 141 ACTION jump VALUE 92 ACTION move VALUE 37 ACTION jump VALUE 139 ACTION move VALUE 185
stage2 138歩走って159高さで跳んで22歩進んで163高さで跳んで314歩ゴール	REASON stone ACTION move VALUE 138 ACTION jump VALUE 159 ACTION move VALUE 22 ACTION jump VALUE 163 ACTION move VALUE 314
stage1 うまいことジャンプして岩を越えて	REASON stone ACTION move VALUE 358 ACTION jump VALUE 41 ACTION move VALUE 104
stage3 203歩走って115でとんで382歩すすむ	REASON hole ACTION move VALUE 203 ACTION jump VALUE 115 ACTION move VALUE 382
stage3 202歩進んで80高さで穴を越えて468歩ゴールへ	REASON hole ACTION move VALUE 202 ACTION jump VALUE 80 ACTION move VALUE 468
stage1 1個の岩を227進んで157ジャンプして402進んで越える	REASON stone ACTION move VALUE 227 ACTION jump VALUE 157 ACTION move VALUE 402
stage2 1つ目の岩まで152進んで65でジャンプ、2つ目まで136進んで106でジャンプして166進んで	REASON stone ACTION move VALUE 152 ACTION jump VALUE 65 ACTION move VALUE 136 ACTION jump VALUE 106 ACTION move VALUE 166
stage2 120移動して150ジャンプ、67移動して66ジャンプ、80移動	REASON stone ACTION move VALUE 120 ACTION jump VALUE 150 ACTION move VALUE 67 ACTION jump VALUE 66 ACTION move VALUE 80
stage3 203歩走って265歩進む	REASON hole ACTION move VALUE 203 ACTION move VALUE 265
stage2 岩を2回ジャンプして越えて	REASON stone ACTION move VALUE 177 ACTION jump VALUE 14 ACTION move VALUE 180 ACTION jump VALUE 10 ACTION move VALUE 242
stage3 123歩進んで152の高さでジャンプして132歩	REASON hole ACTION move VALUE 123 ACTION jump VALUE 152 ACTION move VALUE 132
stage3 大きな穴を跳び越えて	REASON hole ACTION move VALUE 83 ACTION jump VALUE 109 ACTION move VALUE 33
stage3 大きな穴を跳び越えて	REASON hole ACTION move VALUE 316 ACTION jump VALUE 40 ACTION move VALUE 36
stage2 128歩走って62高さで跳んで37歩進んで61高さで跳んで316歩ゴール	REASON stone ACTION move VALUE 128 ACTION jump VALUE 62 ACTION move VALUE 37 ACTION jump VALUE 61 ACTION move VALUE 316
stage1 石を跳び越えて	REASON stone ACTION move VALUE 283 ACTION jump VALUE 6 ACTION move VALUE 214
stage1 236進んで38の高さでジャンプして173歩	REASON stone ACTION move VALUE 236 ACTION jump VALUE 38 ACTION move VALUE 173
stage1 走ってジャンプして	REASON stone ACTION move VALUE 323 ACTION jump VALUE 17 ACTION move VALUE 290
stage3 202進んで高さ20でジャンプして10進む	REASON hole ACTION move VALUE 202 ACTION jump VALUE 20 ACTION move VALUE 10
stage3 203進んで高さ14でジャンプして423進む	REASON hole ACTION move VALUE 203 ACTION jump VALUE 14 ACTION move VALUE 423
stage3 242歩走って26でとんで151歩すすむ	REASON hole ACTION move VALUE 242 ACTION jump VALUE 26 ACTION move VALUE 151
stage3 203移動して27ジャンプ、着地後430移動	REASON hole ACTION move VALUE 203 ACTION jump VALUE 27 ACTION move VALUE 430
stage2 120移動して150ジャンプ、260移動して133ジャンプ、262移動	REASON stone ACTION move VALUE 120 ACTION jump VALUE 150 ACTION move VALUE 260 ACTION jump VALUE 133 ACTION move VALUE 262
stage3 スタートから207進んで高さ136でジャンプして411進んでゴール	REASON hole ACTION move VALUE 207 ACTION jump VALUE 136 ACTION move VALUE 411
stage1 うまいことジャンプして岩を越えて	REASON stone ACTION move VALUE 69 ACTION jump VALUE 29 ACTION move VALUE 81
stage2 148歩走って69高さで跳んで16歩進んで176高さで跳んで325歩ゴール	REASON stone ACTION move VALUE 148 ACTION jump VALUE 69 ACTION move VALUE 16 ACTION jump VALUE 176 ACTION move VALUE 325
stage3 208進んで116ジャンプして169進む	REASON hole ACTION move VALUE 208 ACTION jump VALUE 116 ACTION move VALUE 169
stage3 205進んで93でしっかりジャンプしてから461進んでゴール	REASON hole ACTION move VALUE 205 ACTION jump VALUE 93 ACTION move VALUE 461
stage3 穴の向こうまで跳んで	REASON hole ACTION move VALUE 310 ACTION jump VALUE 107 ACTION move VALUE 169
stage1 岩をうまく飛び越えてゴールへ	REASON stone ACTION move VALUE 388 ACTION jump VALUE 23 ACTION move VALUE 186
stage1 273進んで117の高さでジャンプして126歩	REASON stone ACTION move VALUE 273 ACTION jump VALUE 117 ACTION move VALUE 126
stage1 222歩進んで高さ106でジャンプして259進む	REASON stone ACTION move VALUE 222 ACTION jump VALUE 106 ACTION move VALUE 259
stage2 102歩進んで高さ140でジャンプ、続けて87進んで161でジャンプして276進む	REASON stone ACTION move VALUE 102 ACTION jump VALUE 140 ACTION move VALUE 87 ACTION jump VALUE 161 ACTION move VALUE 276
stage1 岩の手前まで233進んで145ジャンプして403歩ゴールまで	REASON stone ACTION move VALUE 233 ACTION jump VALUE 145 ACTION move VALUE 403
stage3 107歩走って156でとんで291歩すすむ	REASON hole ACTION move VALUE 107 ACTION jump VALUE 156 ACTION move VALUE 291
stage1 岩をうまく飛び越えてゴールへ	REASON stone ACTION move VALUE 364 ACTION jump VALUE 16 ACTION move VALUE 94
stage3 142歩走って176でとんで225歩すすむ	REASON hole ACTION move VALUE 142 ACTION jump VALUE 176 ACTION move VALUE 225
stage2 118進んで101の力でジャンプ、34進んで101の力でジャンプして283進んで	REASON stone ACTION move VALUE 118 ACTION jump VALUE 101 ACTION move VALUE 34 ACTION jump VALUE 101 ACTION move VALUE 283
stage1 235歩走って29高さで跳んで220歩進む	REASON stone ACTION move VALUE 235 ACTION jump VALUE 29 ACTION move VALUE 220
stage3 208移動して65ジャンプ、着地後399移動	REASON hole ACTION move VALUE 208 ACTION jump VALUE 65 ACTION move VALUE 399
stage2 133歩進んで高さ82でジャンプ、続けて63進んで107でジャンプして234進む	REASON stone ACTION move VALUE 133 ACTION jump VALUE 82 ACTION move VALUE 63 ACTION jump VALUE 107 ACTION move VALUE 234
stage1 117歩走って90高さで跳んで289歩進む	REASON stone ACTION move VALUE 117 ACTION jump VALUE 90 ACTION move VALUE 289
stage3 201進んで122でしっかりジャンプしてから413進んでゴール	REASON hole ACTION move VALUE 201 ACTION jump VALUE 122 ACTION move VALUE 413
stage1 ちょうど234進んでから180でジャンプして360進んでね	REASON stone ACTION move VALUE 234 ACTION jump VALUE 180 ACTION move VALUE 360
stage2 133移動して70ジャンプ、42移動して129ジャンプ、最後に298移動	REASON stone ACTION move VALUE 133 ACTION jump VALUE 70 ACTION move VALUE 42 ACTION jump VALUE 129 ACTION move VALUE 298
stage2 1つ目の岩まで138進んで85でジャンプ、2つ目まで48進んで25でジャンプして316進んで	REASON stone ACTION move VALUE 138 ACTION jump VALUE 85 ACTION move VALUE 48 ACTION jump VALUE 25 ACTION move VALUE 316
stage2 2回ジャンプして進んで	REASON stone ACTION move VALUE 232 ACTION jump VALUE 31 ACTION move VALUE 110 ACTION jump VALUE 12 ACTION move VALUE 296
stage3 203進んで高さ143でジャンプして455進む	REASON hole ACTION move VALUE 203 ACTION jump VALUE 143 ACTION move VALUE 455
stage2 まず143進んで163ジャンプ、次に7進んで52ジャンプ、179進んでゴール	REASON stone ACTION move VALUE 143 ACTION jump VALUE 163 ACTION move VALUE 7 ACTION jump VALUE 52 ACTION move VALUE 179
stage2 1つ目の岩まで105進んで129でジャンプ、2つ目まで116進んで180でジャンプして204進んで	REASON stone ACTION move VALUE 105 ACTION jump VALUE 129 ACTION move VALUE 116 ACTION jump VALUE 180 ACTION move VALUE 204
stage1 まず248進んで、170でジャンプして、その後360進んで	REASON stone ACTION move VALUE 248 ACTION jump VALUE 170 ACTION move VALUE 360
stage3 穴をジャンプして越えて	REASON hole ACTION move VALUE 71 ACTION jump VALUE 108 ACTION move VALUE 185
stage1 岩の手前まで238進んで92ジャンプして375歩ゴールまで	REASON stone ACTION move VALUE 238 ACTION jump VALUE 92 ACTION move VALUE 375
stage1 岩の手前まで247進んで67ジャンプして430歩ゴールまで	REASON stone ACTION move VALUE 247 ACTION jump VALUE 67 ACTION move VALUE 430
stage3 146進んで高さ148でジャンプして115進む	REASON hole ACTION move VALUE 146 ACTION jump VALUE 148 ACTION move VALUE 115
stage2 114歩進んで105で飛んで、84歩進んで64で飛んで249歩すすむ	REASON stone ACTION move VALUE 114 ACTION jump VALUE 105 ACTION move VALUE 84 ACTION jump VALUE 64 ACTION move VALUE 249
stage1 まず249進んで、141でジャンプして、その後357進んで	REASON stone ACTION move VALUE 249 ACTION jump VALUE 141 ACTION move VALUE 357
stage2 まず128進んで146の高さでジャンプ、次に46進んで70でジャンプし325進んでゴール	REASON stone ACTION move VALUE 128 ACTION jump VALUE 146 ACTION move VALUE 46 ACTION jump VALUE 70 ACTION move VALUE 325
stage1 スタートから224進んで高さ125でジャンプして411進んでゴール	REASON stone ACTION move VALUE 224 ACTION jump VALUE 125 ACTION move VALUE 411
stage3 穴の手前まで209進んで106の高さでジャンプして向こうまで467進んで	REASON hole ACTION move VALUE 209 ACTION jump VALUE 106 ACTION move VALUE 467
stage2 137歩走って140高さで跳んで16歩進んで62高さで跳んで313歩ゴール	REASON stone ACTION move VALUE 137 ACTION jump VALUE 140 ACTION move VALUE 16 ACTION jump VALUE 62 ACTION move VALUE 313
stage1 240移動してから高さ169でジャンプし、407移動して	REASON stone ACTION move VALUE 240 ACTION jump VALUE 169 ACTION move VALUE 407
stage2 石を2個越えてゴールまで	REASON stone ACTION move VALUE 164 ACTION jump VALUE 37 ACTION move VALUE 91 ACTION jump VALUE 37 ACTION move VALUE 263
stage3 150歩走って57でとんで378歩すすむ	REASON hole ACTION move VALUE 150 ACTION jump VALUE 57 ACTION move VALUE 378
stage1 223進んで19ジャンプして267進む	REASON stone ACTION move VALUE 223 ACTION jump VALUE 19 ACTION move VALUE 267
stage2 まず184進んで103ジャンプ、次に61進んで67ジャンプ、279進んでゴール	REASON stone ACTION move VALUE 184 ACTION jump VALUE 103 ACTION move VALUE 61 ACTION jump VALUE 67 ACTION move VALUE 279
stage1 228歩走って高さ67でとんで356歩進む	REASON stone ACTION move VALUE 228 ACTION jump VALUE 67 ACTION move VALUE 356
stage2 111歩進んで高さ71でジャンプ、続けて72進んで142でジャンプして255進む	REASON stone ACTION move VALUE 111 ACTION jump VALUE 71 ACTION move VALUE 72 ACTION jump VALUE 142 ACTION move VALUE 255
stage2 131歩進んで高さ169でジャンプ、続けて50進んで128でジャンプして312進む	REASON stone ACTION move VALUE 131 ACTION jump VALUE 169 ACTION move VALUE 50 ACTION jump VALUE 128 ACTION move VALUE 312
stage3 309歩走って45でとんで127歩すすむ	REASON hole ACTION move VALUE 309 ACTION jump VALUE 45 ACTION move VALUE 127
stage1 239進んで高さ171でジャンプしてから372進んで	REASON stone ACTION move VALUE 239 ACTION jump VALUE 171 ACTION move VALUE 372
stage3 穴の手前まで201進んで42の高さでジャンプして向こうまで452進んで	REASON hole ACTION move VALUE 201 ACTION jump VALUE 42 ACTION move VALUE 452
stage3 207歩進んで35高さで穴を越えて472歩ゴールへ	REASON hole ACTION move VALUE 207 ACTION jump VALUE 35 ACTION move VALUE 472
stage3 207歩進んで9高さで穴を越えて437歩ゴールへ	REASON hole ACTION move VALUE 207 ACTION jump VALUE 9 ACTION move VALUE 437
stage3 209進んで151ジャンプしてから410進んで	REASON hole ACTION move VALUE 209 ACTION jump VALUE 151 ACTION move VALUE 410
stage1 238進んで81の高さでジャンプして390歩すすむ	REASON stone ACTION move VALUE 238 ACTION jump VALUE 81 ACTION move VALUE 390
stage1 まず247進んで、53でジャンプして、その後344進んで	REASON stone ACTION move VALUE 247 ACTION jump VALUE 53 ACTION move VALUE 344
stage1 231歩走って76高さで跳んで190歩進む	REASON stone ACTION move VALUE 231 ACTION jump VALUE 76 ACTION move VALUE 190
stage2 139歩進んで高さ71でジャンプ、234進んで84でジャンプして260進む	REASON stone ACTION move VALUE 139 ACTION jump VALUE 71 ACTION move VALUE 234 ACTION jump VALUE 84 ACTION move VALUE 260
stage3 202進んで22でしっかりジャンプしてから463進んでゴール	REASON hole ACTION move VALUE 202 ACTION jump VALUE 22 ACTION move VALUE 463
stage1 235進んで127ジャンプして195進む	REASON stone ACTION move VALUE 235 ACTION jump VALUE 127 ACTION move VALUE 195
stage2 109移動して46ジャンプ、71移動して113ジャンプ、301移動	REASON stone ACTION move VALUE 109 ACTION jump VALUE 46 ACTION move VALUE 71 ACTION jump VALUE 113 ACTION move VALUE 301
stage2 128進んで69の力でジャンプ、58進んで85の力でジャンプして311進んで	REASON stone ACTION move VALUE 128 ACTION jump VALUE 69 ACTION move VALUE 58 ACTION jump VALUE 85 ACTION move VALUE 311
stage2 2回ジャンプして進んで	REASON stone ACTION move VALUE 71 ACTION jump VALUE 42 ACTION move VALUE 182 ACTION jump VALUE 9 ACTION move VALUE 126
stage3 208移動して53移動	REASON hole ACTION move VALUE 208 ACTION move VALUE 53
stage3 大きな穴を跳び越えて	REASON hole ACTION move VALUE 67 ACTION jump VALUE 34 ACTION move VALUE 196
stage2 まず111進んで171の高さでジャンプ、次に54進んで107でジャンプし303進んでゴール	REASON stone ACTION move VALUE 111 ACTION jump VALUE 171 ACTION move VALUE 54 ACTION jump VALUE 107 ACTION move VALUE 303
stage2 まず138進んで122ジャンプ、次に61進んで56ジャンプ、169進んでゴール	REASON stone ACTION move VALUE 138 ACTION jump VALUE 122 ACTION move VALUE 61 ACTION jump VALUE 56 ACTION move VALUE 169
stage1 走ってジャンプして	REASON stone ACTION move VALUE 38 ACTION jump VALUE 32 ACTION move VALUE 68
stage3 203進んで高さ116でジャンプして386進む	REASON hole ACTION move VALUE 203 ACTION jump VALUE 116 ACTION move VALUE 386
stage1 少し走ってから跳んで	REASON stone ACTION move VALUE 289 ACTION jump VALUE 45 ACTION move VALUE 247
stage1 242移動してから高さ81でジャンプし、430移動して	REASON stone ACTION move VALUE 242 ACTION jump VALUE 81 ACTION move VALUE 430
stage1 岩の手前まで245進んで91ジャンプして404歩ゴールまで	REASON stone ACTION move VALUE 245 ACTION jump VALUE 91 ACTION move VALUE 404
stage1 227進んで高さ98でジャンプしてから421進んで	REASON stone ACTION move VALUE 227 ACTION jump VALUE 98 ACTION move VALUE 421
stage3 208移動して76ジャンプ、着地後405移動	REASON hole ACTION move VALUE 208 ACTION jump VALUE 76 ACTION move VALUE 405
stage3 180移動して141移動	REASON hole ACTION move VALUE 180 ACTION move VALUE 141
